,page_id,page_ideo_full_year,Other,Trump,Clinton,Johnson,page_name,ideology_from_community
793,335331839998647,1.7585638345100547,0.0,1.0,0.0,0.0,The PolitiStick,Trump
794,339226922847416,0.4513068445522385,0.0,1.0,0.0,0.0,AWM America,Trump
795,339251532832846,-1.2442133098257158,0.0,0.0,1.0,0.0,Forward,Clinton
796,340005092689907,-1.729673929182187,0.0,0.0,1.0,0.0,The Daily Banter,Clinton
797,341163402640457,-0.15101953650140884,0.35714285714285715,0.0,0.5714285714285714,0.07142857142857142,NowThis,Clinton
798,344637645551128,0.3869376726853456,0.0,0.8571428571428571,0.0,0.14285714285714285,Red Alert Politics,Trump
799,346937065399354,-0.31847917131649334,0.0,0.0,1.0,0.0,Occupy Democrats,Clinton
800,347980278556458,-1.3211099000399094,0.0,0.0,1.0,0.0,Vietnam Veterans for Obama,Clinton
801,350771908311178,1.1646467628314379,0.0,1.0,0.0,0.0,Prepare to Take America Back,Trump
802,352587308165634,1.0203508584700596,0.0,1.0,0.0,0.0,Political Correctness Gone Wild,Trump
803,353967728021064,-1.3161890856766212,0.0,0.0,1.0,0.0,Liberals Unite,Clinton
804,354263831266028,-1.053283921039723,0.0,0.0,1.0,0.0,BuzzFeed Politics,Clinton
805,354522044588660,-0.23039678915225795,0.0,0.0,1.0,0.0,Upworthy,Clinton
806,355162344610121,-1.8485372441583363,0.0,0.0,1.0,0.0,The Politburo of Teabilly Mockery,Clinton
807,357191544367570,-0.4555953147657928,0.0,0.0,1.0,0.0,Janis Ian,Clinton
808,357652214365312,1.8272537347345652,0.0,1.0,0.0,0.0,Patriot Survival,Trump
809,358801027537350,-1.7839345208382615,0.0,0.0,1.0,0.0,One Liberal's SLANT on Politics,Clinton
810,360781383974396,-1.5704526318846148,0.0,0.0,1.0,0.0,The Everlasting GOP Stoppers,Clinton
811,365084476836621,0.7901180557798383,0.0,1.0,0.0,0.0,Fox & Friends First,Trump
812,367105936678679,-0.5203150459961358,0.0,0.0,1.0,0.0,Union Thugs,Clinton
813,367271796750940,-0.5120774970836973,0.0,0.0,0.9285714285714286,0.07142857142857142,Counter Current News,Clinton
