,page_id,page_name,week_0_community,week_1_community,week_2_community,week_3_community,week_4_community,week_5_community,week_6_community,week_7_community,week_8_community,week_9_community,week_10_community,week_11_community,week_12_community,week_13_community
97,95926963131,People,3,3,3,3,3,3,3,3,3,3,3,3,3,2
98,38423635680,Andy Borowitz,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,307188559330028,Cold Dead Hands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10606591490,TIME,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101,10513336322,The Guardian,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102,9258148868,The New Yorker,2,2,2,2,2,2,2,2,2,2,2,2,2,2
103,42354254341,ABC13 Houston,3,3,3,3,3,3,3,3,3,3,3,3,3,3
104,18943096862,Lizzy the Lezzy,2,2,2,2,2,2,2,2,2,2,2,2,2,2
105,217940775059524,Addicted 2 Country Music,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,31160214090,ABC7NY,3,3,3,3,3,3,3,3,3,3,3,3,3,2
107,273863336077899,Unknown Page Name13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,143666524748,The Telegraph,3,2,2,2,2,2,2,2,3,2,2,2,2,2
109,532854420074062,Faves USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,232843448409,Ezra Klein,2,2,2,2,2,2,2,2,2,2,2,2,2,2
111,131247023568988,Proud Liberal Americans,2,2,2,2,2,2,2,2,2,2,2,2,2,2
112,304981108326,Coffee Party USA,2,2,2,2,2,2,2,2,2,2,2,2,2,2
113,18807449704,Mashable,2,2,2,2,2,2,2,2,2,2,2,2,2,2
114,131929868907,Collective Evolution,3,2,2,2,2,2,2,2,3,3,3,3,2,2
115,18356341358,ABC15 Arizona,3,3,3,3,3,3,3,3,1,3,1,3,1,1
116,89033370735,E! News,3,3,3,3,3,3,3,3,3,3,3,3,3,2
117,6363207806,CollegeHumor,3,2,3,3,3,2,2,2,3,3,3,3,3,2
118,62317591679,POLITICO,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,112779115408517,KIRO 7 News,3,3,3,3,3,3,3,3,3,3,3,3,3,2
120,200137333331078,Unknown Page Name14,2,2,2,2,2,2,2,2,2,2,2,2,2,2
121,150354326163,Proud to be an American,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,52150999700,Entertainment Weekly,3,2,3,2,3,2,3,3,3,3,2,3,3,2
123,451075468389015,Donald Trump Is My President,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,8719774366,Complex,3,3,3,3,3,2,3,2,3,3,3,3,3,2
125,156720204453023,Unknown Page Name15,3,2,3,3,2,2,2,2,3,3,3,3,3,3
126,131201286936061,Franklin Graham,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,468285376597666,All Def,3,3,3,3,3,2,3,3,3,3,3,3,3,2
128,1425604894326440,Unknown Page Name16,3,3,3,3,3,2,2,3,3,3,3,3,3,3
129,59344923821,KDKA-TV | CBS Pittsburgh,3,3,3,3,3,3,3,3,3,3,3,3,3,3
130,545775132233909,The Late Show with Stephen Colbert,2,2,2,2,2,2,2,2,2,2,2,2,2,2
131,114288853688,NBC Nightly News with Lester Holt,2,2,2,2,2,2,2,2,2,2,2,2,2,2
132,140738092630206,TheBlaze,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,292351509697,Jerusalem Prayer Team,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,6333396177,NewsBusters.org,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,142868065759441,Unknown Page Name17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,93228695778,Tea Party Patriots,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,38245492451,ABC7,3,3,3,3,3,3,3,3,3,3,3,3,3,2
138,10018702564,HuffPost Black Voices,2,2,2,2,2,2,2,2,2,2,2,2,2,2
139,12795435237,Fox Business,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,171133359591663,Rickey Smiley,3,3,3,2,2,2,3,2,3,3,2,3,3,2
141,108038612554992,Unknown Page Name18,2,2,2,2,2,2,2,2,2,2,2,2,2,2
142,150799104953073,United With Israel,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,21090771700,Gun Owners of America,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,325935647511804,Joe Walsh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,92925746942,Judicial Watch,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,311190048935167,100 Percent FED Up,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,118436878597,LifeNews.com,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,29259828486,The Atlantic,2,2,2,2,2,2,2,2,2,2,2,2,2,2
149,7533944086,The Hill,2,2,2,2,2,2,2,2,2,2,2,2,2,2
150,475549362567960,Conservative Review,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,295732903793433,God Bless the United States,2,2,2,2,2,2,2,2,2,2,2,2,2,2
152,219367258105115,CNN Politics,2,2,2,2,2,2,2,2,2,2,2,2,2,2
153,195530355493,Chicks On The Right,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,26423400230,The Root,2,2,2,2,2,2,2,2,2,3,2,2,2,2
155,413605605357873,Unknown Page Name19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,5863113009,Los Angeles Times,2,2,2,2,2,2,2,2,2,2,2,2,2,2
157,129930197818,Michael Baisden Live,3,3,3,2,2,2,3,2,3,3,2,3,3,2
158,799539910084929,Shaun King,2,2,2,2,2,2,2,2,2,2,2,2,2,2
159,238680483163972,Unknown Page Name20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,134486075205,New York Post,3,3,3,3,3,3,3,3,3,3,3,3,3,3
161,13312631635,The Independent,3,2,2,2,2,2,2,2,3,2,2,2,3,2
162,165583971161,ABC 7 Chicago,3,3,3,3,3,3,3,3,3,3,3,3,3,3
163,10664530778,Rolling Stone,2,2,2,2,2,2,2,2,2,2,2,2,2,2
164,139398939438430,Left Action,2,2,2,2,2,2,2,2,2,2,2,2,2,2
165,69983322463,Ted Cruz,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,197535293612901,UberFacts,3,3,3,3,3,2,3,3,3,3,3,3,3,2
167,254541051349349,Unknown Page Name21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,223649167822693,Vox,2,2,2,2,2,2,2,2,2,2,2,2,2,2
169,486474041433960,Unknown Page Name22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,37763684202,The Daily Beast,2,2,2,2,2,2,2,2,2,2,2,2,2,2
171,38471053686,Elizabeth Warren,2,2,2,2,2,2,2,2,2,2,2,2,2,2
172,210732882417014,Unknown Page Name23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,43279570822,FOX 5 Atlanta,3,3,3,3,3,3,3,3,3,3,3,3,3,3
174,166618413413767,Jay Sekulow,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,240944029279128,Jill Stein,2,2,2,2,2,2,2,2,2,2,2,2,2,2
176,467133963318685,Western Journal Politics,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,15139936162,Steven Crowder,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,68771922854,Essence,3,3,3,2,2,2,2,2,3,3,2,2,3,2
179,273864989376427,MSNBC,2,2,2,2,2,2,2,2,2,2,2,2,2,2
